label,text
nondev,Do you like playing games with your friends?
dev,I wrote a bunch of unit tests in api this morning.
dev,Nothing is more satisfying than passing all tests in react.
nondev,I really need to clean my room.
nondev,What kind of music do you usually listen to?
dev,I am frustrated with working with swift.
dev,We're migrating our old codebase to api.
nondev,Do you prefer coffee or tea?
nondev,We had a great time at the party last night.
dev,I feel so happy when my mysql code runs without errors.
dev,My build pipeline keeps failing and I have no idea why.
dev,I finally fixed a critical bug in our node.js service.
nondev,I need to clear my cache and stop overthinking.
dev,The tests passed locally but fail on the server and it's driving me crazy.
dev,Our backend is written in django.
nondev,I usually spend my weekends with my family.
dev,Have you ever deployed a c++ app to production?
nondev,I get so happy when I see my friends after a long time.
dev,I pushed something and everything broke in production.
nondev,What kind of music do you usually listen to?
dev,I pushed something and everything broke in production.
dev,I'm scared to touch the old javascript code in this repo.
dev,We're migrating our old codebase to docker compose.
nondev,Sometimes I stay up too late watching videos online.
dev,I stared at the screen for hours until the solution finally clicked.
nondev,Do you like watching things about finance?
nondev,I often think about changing my daily routine.
nondev,Do you like watching things about books?
dev,"Every time I fix one issue, two more appear in the logs."
nondev,Do you like playing games with your friends?
dev,"The code worked yesterday, but now nothing makes sense at all."
dev,"Honestly, I think docker compose is underrated compared to other languages."
dev,"I pushed my latest changes to GitHub, it's mostly android studio."
dev,Our team is refactoring a huge legacy project in fullstack.
nondev,I'm learning how to cook different kinds of food.
dev,I feel confident with working with visual studio.
dev,Someone merged into main without a review and now we are in trouble.
nondev,Have you ever traveled abroad?
dev,I just learned a new design pattern in graphql.
dev,My colleague keeps telling me to switch from kotlin to another language.
nondev,Have you tried any new restaurants lately?
nondev,Lately I've been feeling more motivated to exercise.
dev,My colleague keeps telling me to switch from rest api to another language.
dev,The deployment failed halfway through and rolled everything back.
dev,We manage our deployments using android studio.
dev,I need to optimize this linux loop.
dev,I'm scared to touch the old golang code in this repo.
dev,I pushed something and everything broke in production.
dev,At work we use graphql for most of our microservices.
nondev,I usually drink coffee before I start my day.
dev,My favorite IDE for mongodb is VS Code.
